age,gender,education,mental_illbeing_cause_1,5) mental_illbeing_cause_2,6) mental_illbeing_mechanism_1,7) mental_illbeing_mechanism_2,8) favorite_modern_feature_1,9) favorite_modern_feature_2,10) favorite_modern_feature_3,11) mothers_specific,12) fathers_specific,13) children_specific,
19,male,14,social_media,stigma_mentalhealth,dopamine,despression,mordern_human_life,basic_needs,digitalized_everything,societal_pressure,fulfill_gender_roles,social_media,
21,male,15,societal_complexities,communication,social_issues,i_message,happiness,wild_nature,pressure,discriminatory_culture,Finance,poor_environment,
20,male,15,social_media,economic_factors,dopamine,annual_income,socializing,pursue_passions,stress,kids_misbehavor,Finance,social_media,
20,male,15,stress_school,stress_society,assignements,government,internet,air_conditioning,something_I_hate,lack_of_support,lack_of_support,lack_of_support,
19,female,13,global_communication,economic_stress,global_advertisements,annual_income,work-life balance,individuality,emphasis_on_capitalism ,gender_roles,gender_roles,social_media,
19,male,14,social_media,socializing_people,dopamine,organization,human_interaction,variety_food,cancel_culture,social_media,social_media,social_media,
22,female,16,life_experiences,family_trauma,social_issues,family_feud,modernday_technology,different_social_identities,social_media,giving_birth,social_norms ,family_relationships,
21,female,15,financial_stress,competition,annual_income,sports_event,communicate,other_cultures,disrespect_of_people,obsession,sense_of_responsibility,be_perfect,
21,male,17,social_media,school_works,dopamine,assignements,play_sports,healthy,work,kids_misbehavor,finance,social_media,
22,female,16,social_media,economic_factors,dopamine,annual_income,happiness,healthy,social_media,gender_roles,finance,social_media,
,,,,,,,,,,,,,
,,,,,,,,,,,,,